Date,Open,High,Low,Close,Adj Close,Volume
2021-03-29,249.220001,249.220001,249.220001,249.220001,249.220001,0
2021-03-30,247.389999,247.389999,247.389999,247.389999,247.389999,0
2021-03-31,245.470001,245.470001,245.470001,245.470001,245.470001,0
2021-04-01,247.550003,247.550003,247.550003,247.550003,247.550003,0
2021-04-05,249.899994,249.899994,249.899994,249.899994,249.899994,0
2021-04-06,248.350006,248.350006,248.350006,248.350006,248.350006,0
2021-04-07,246.899994,246.899994,246.899994,246.899994,246.899994,0
2021-04-08,248.279999,248.600006,245.850006,248.500000,248.500000,292635
2021-04-09,250.000000,254.000000,249.649994,254.000000,254.000000,248773
2021-04-12,253.429993,256.799988,251.720001,256.540009,256.540009,230183
2021-04-13,255.889999,257.200012,253.699997,257.200012,257.200012,225384
2021-04-14,257.200012,257.559998,253.399994,254.289993,254.289993,433984
2021-04-15,253.000000,254.949997,252.119995,254.949997,254.949997,305851
2021-04-16,256.700012,257.489990,252.279999,255.000000,255.000000,284777
2021-04-19,253.990005,254.520004,249.350006,251.649994,251.649994,438717
2021-04-20,249.899994,249.899994,246.589996,249.800003,249.800003,785949
2021-04-22,249.490005,249.490005,244.199997,245.279999,245.279999,518338
2021-04-23,244.990005,250.000000,244.889999,249.000000,249.000000,340235
2021-04-26,247.509995,249.350006,247.059998,247.500000,247.500000,358302
2021-04-27,247.500000,248.990005,245.509995,248.500000,248.500000,219113
2021-04-28,246.699997,246.699997,243.250000,244.000000,244.000000,529312
2021-04-29,244.940002,245.889999,243.000000,244.500000,244.500000,214846
2021-04-30,243.539993,247.000000,243.320007,247.000000,247.000000,309690
2021-05-03,247.559998,248.449997,244.580002,247.389999,247.389999,210154
2021-05-04,247.399994,247.399994,243.199997,246.199997,246.199997,331498
2021-05-05,245.059998,245.259995,242.050003,242.500000,242.500000,651306
2021-05-06,241.289993,241.289993,237.130005,241.199997,241.199997,715597
2021-05-07,240.529999,240.529999,238.710007,240.360001,240.360001,599207
2021-05-10,240.289993,240.350006,237.500000,237.500000,237.500000,292230
2021-05-11,237.149994,237.149994,233.000000,235.899994,235.899994,400221
2021-05-12,233.970001,235.000000,232.419998,235.000000,235.000000,460232
2021-05-13,234.000000,239.000000,233.580002,236.350006,236.350006,251956
2021-05-14,237.509995,239.600006,236.449997,239.000000,239.000000,669006
2021-05-17,239.919998,240.860001,236.300003,238.899994,238.899994,493903
2021-05-18,237.339996,238.399994,235.789993,235.850006,235.850006,387139
2021-05-19,234.610001,237.500000,232.509995,237.500000,237.500000,346518
2021-05-20,237.009995,238.990005,236.559998,238.000000,238.000000,248562
2021-05-21,239.000000,242.669998,238.610001,242.000000,242.000000,652409
2021-05-24,241.960007,243.470001,241.369995,242.500000,242.500000,244541
2021-05-25,242.440002,243.089996,240.889999,242.429993,242.429993,265113
2021-05-26,242.429993,243.220001,240.820007,241.500000,241.500000,144183
2021-05-27,241.500000,241.990005,239.070007,240.600006,240.600006,244300
